Pokémon sangen (dansk),https://www.youtube.com/watch?v=y9ongoen_oQ,0,"[General intro] Skud ud til alle dem der elsker software, alle dem der elsker matematik og teknologi, og ikke mindst alle dem der elsker børn. God fornøjelse.(Alternativ: Skud ud til alle dem,der elsker kældre, mildt socialt akavede oplevelser og ikke mindst børn. God fornøjelse)",Velkommen til klub 10000000 [binært],,,,
De glade Sømænd - drik drik drik,https://www.youtube.com/watch?v=U0cIIbK71_o,0,Skud ud til øl,,,Tidspunkt,Kommentar,
Jesu Brødre - KranAlarm,https://www.youtube.com/watch?v=C9M4rSoC4FY,7,Skud ud til Pi approksimeret,,,,,
Pitbull - I Know You Want Me,https://www.youtube.com/watch?v=E2tMV96xULk,11.6,Skud ud til at kunne tælle til fire på español,,,07:00,Det virker ikke som om den sidste del af Michael-klippet skal være med.,
Mambo number 5,https://www.youtube.com/watch?v=EK_LN3XEcnw,18,Skud ud til fars bælte,,,00:34:57,Der bliver sagt tredje øl i stedet for anden øl,
Initial D - Running in the 90s,https://soundcloud.com/draacotempest/running-in-the-90s,23,Skud ud til algoritmer der kører i polynomiel tid,,,01:12:28 ,Danny Cool bliver spillet to gange i træk,
Live and let Die (Guns n' Roses),https://www.youtube.com/watch?v=6D9vAItORgE,36,Skud ud til Harald,,,01:16:55,""" 'gud ud til...""",Egentlig ligemeget
Madonna - Hung Up,https://www.youtube.com/watch?v=e99M6-7KW0k,25,"""Det er to bundere"" ""Jeg er i pitten nu""",Indspilles af Lasse og Viktor,,1:29:50,"På skemaet står der altså at vi er omkring den femte øl, men der bliver sagt 6. øl.",
Zhonti feat. NN-Beka - ЗЫН ЗЫН,https://www.youtube.com/watch?v=jOjS83UGZvM,6,Skud ud til bier - de er ved at uddø,,,01:53:24,"Er  det meningen at der ikke kommer ""Uran Hjort""-sangen på når der bliver sagt ""skud ud til hjorte""?",
ТРИ ПОЛОСКИ (tri poloski),https://www.youtube.com/watch?v=QiFBgtgUtfw,12,Skud ud til velplacerede tatoveringer,,,,,
Kool & The Gang - Get Down On It,https://www.youtube.com/watch?v=qchPLaiKocI,25,Skud ud til at kunne se det,,,Noter:,"Johnny sangene skal muligvis rykkes lidt rundt på (det er bare min holding, du må helt selv om det)",
Kaj og Andrea - Snakke Bagvendt (techno remix),https://www.youtube.com/watch?v=bzQg7JEccMo,13.5,(kolde øl på bænken),Michael citat,,,,
Doot Doot remix,https://www.youtube.com/watch?v=gu4AyUWBr18,0,Skud ud til calcium og stærke knogler,:S (plads 13 for ekstra spook),,,,
S3RL - Genre Police,https://www.youtube.com/watch?v=IxGtRLM9HYc,26.2,Skud ud til 2D piger,,,,,
Justin Timberlake - Cry Me a River,https://www.youtube.com/watch?v=DksSPZTZES0,45,"“Hvis jeg ikke kan se hvem det er, er det ikke kontraktbrud”",Inspilles af Lasse,,,,
Will Grigg's on Fire,https://www.youtube.com/watch?v=59UtaDVt5QM,29,Skud ud til 2016,,,,,
Pong Dance,https://www.youtube.com/watch?v=9Riq6IMqXz8,20,Skud ud til at bunde den første øl,Første øl,,,,
Radioactive,https://www.youtube.com/watch?v=ktvTqknDobU,33,Skud ud til KABS18,Start 0:33,,,,
Rikke Darling - Giv Mig Coco,https://www.youtube.com/watch?v=MMCdHmMd64A,27,Skud ud til løg,giv mig løjmand,,,,
Warmdue Project - King of my Castle (Rowald Steyn Radio Edit),https://www.youtube.com/watch?v=c_wdosY11PU,25,Skud ud til hegnet,,,,,
DJ Blyatman - tsar bomba,https://www.youtube.com/watch?v=JsCfAmCpVrE,23,Skud ud til atomic nukes,,,,,
Fisseronni - NUMMER,https://www.youtube.com/watch?v=0JcNeflUAKc,7,Skud ud til smatsøer,,,,,
ABBA - Gimme! Gimme! Gimme! (A Man After Midnight),https://www.youtube.com/watch?v=XEjLoHdbVeE,18.5,Skud ud til flatliners efter 3,Start 0:18,,,,
Asbjørn Bøggild - Drik øl,https://www.youtube.com/watch?v=xTMrfwohUZ4,59,Skud ud til antallet af øl i en ramme,,,,,
Hannibal Hildorf - Havenisser,https://www.youtube.com/watch?v=6vP2gPF0OTY,15,Skud ud til havenisser,,,,,
Bogfinkevej - Iben Hjejle,https://www.youtube.com/watch?v=PrWK8MUY1ss,22.5,  ,"start ved 13s, iben nævnes 26 gange",,,,
Pitbull - Fireball,https://www.youtube.com/watch?v=HMqgVXSvwGo,23,Skud ud til Mr. Worldwide,,,,,
The Pointer Sisters - I'm So Excited,https://www.youtube.com/watch?v=8iwBM_YB1sE,22,Skud ud til WordArt,,,,,
Abba - Mama Mia,https://www.youtube.com/watch?v=unfzfe8f9NI,20,Skud ud til brække sig 4 gange på en aften,,,,,
Selvmord på Dansegulvet,https://www.youtube.com/watch?v=Ik9MQxd8Vfw,20,"""Fuck det smager meget af Fernet det her""
""Hvad er det?""
""Det er Fernet""",Indspilles af Felix og Tejs,,,,
Doot with the sickness,https://www.youtube.com/watch?v=ypCfdrARoLQ,0,Skud ud til kønssygdomme,,,,,
Jesu Brødre - I Nat,https://www.youtube.com/watch?v=ZRf5UA1Mvyg,7,Skud ud til vaseline,,,,,
Taylor Swift - You Belong With Me,https://www.youtube.com/watch?v=VuNIsY6JdUw,7,Skud ud til puslespil,Start 0:07,,,,
Kaj & Andrea - Bom Tjikke Bom,https://www.youtube.com/watch?v=ftzn_aOVrLM,0,Skud ud til at dreje,Anden øl,,,,
Rollespilssangen,https://www.youtube.com/watch?v=GLik2EOkzU0,23,Skud ud til rollespil,Start 0:23,,,,
Ace of Base - Beautiful Morning,https://www.youtube.com/watch?v=rY-DY6dUDuA,0,Skud ud til at gå i seng lidt i 5,,,,,
Soft Cell - Tainted Love,https://www.youtube.com/watch?v=26q_aarfaEA,8,Skud ud til MATLAB,,,,,
NOMA - Brain Power,https://www.youtube.com/watch?v=mj-v6zCnEaw,45,Skud ud til rigtige programmeringssprog,Start ved 0:45,,,,
Aqua - Barbie Girl,https://www.youtube.com/watch?v=ZyhrYis509A,7,Er jeres intelligens også kunstig?,Start 0:07,,,,
Rasmus Sedak - Øde Ø,https://soundcloud.com/tryllebanden/rasmus-sedak-ode-o,7,(Michael der siger noget om en øde ø),"Start 0:07, lige før han siger noget",,,,
SkipperBent,https://www.youtube.com/watch?v=K0rGeygrwo0,7,Skud ud til Møns klint ,"Er 7 sekunder for kort, panik",,,,
J-Hawk Records - Et Barn er Født i Betlehem (remix),https://soundcloud.com/j-hawk-records/et-barn-er-fodt-i-betlehem-remix,0,Skud ud til P=NP,,,,,
Den danske metode - tramper torben,https://soundcloud.com/tramperentorben/tramper-torben-den-danske-metode-fuldsmaderogtramp-remix,7.7,Skud ud til hundredetusindevis af danske dollars,,,,,
Donna Summer - Hot Stuff,https://www.youtube.com/watch?v=nHdDrQqVEBE,31,"""To fingre i halsen - det er doping""","Start 0:31, Kenny",,,,
Mulan - Rigtige Mænd,https://www.youtube.com/watch?v=VNimoexOaoE,15,Skud ud til feminister,Start 0:15,,,,
Jesu Brødre - Fukboi,https://www.youtube.com/watch?v=ezBb5zXuP6A,10,Skud ud til at fylde 32% af tylletavlen i Diamanten,ja jeg giver skud ud til mig selv,,,,
Zinedine Zidane,https://www.youtube.com/watch?v=nrOLGifnMJk,195,Skud ud til ølludo,,,,,
Melissa & Victoria - Jeg elsker dig,https://youtu.be/Q3QvE2Me618,3,Skud ud til god sangtekst,,,,,
Rasmus Sedak - Olivia,https://soundcloud.com/tryllebanden/sedak-det-sku-godt,23,Skud ud til damer jeg ikke har lavet,"0:23, lige når han siger du kan næsten se det",,,,
Bamses billedbog - Signatur,https://www.youtube.com/watch?v=UGb23xqsP2Y,0,Skud ud til at dubong og dubong,Tredje øl,,,,
Spookytale: TRUMPETVANIA,https://www.youtube.com/watch?v=3d7coxhZQm0,8,Har I husket at takke Mr. Skeltal?,cut de første 8 sekunder,,,,
Pitbull - Timber,https://www.youtube.com/watch?v=hHUbLv4ThOo,35,Skud ud til Dalé,,,,,
National Anthem of USSR,https://www.youtube.com/watch?v=U06jlgpMtQs,1,Skud ud til vores alle sammens Rus18,,,,,
Flora Ofelia - Du Du Du,https://www.youtube.com/watch?v=4E_mgpln-jc,4,(slå gamle damer ihjel),,,,,
Simon og Oliver - KATTE KLUB SANGEN!,https://www.youtube.com/watch?v=t0GNfFdwPI8,0,Skud ud til kattemennesker,,,,,
The Weather Girls - It's Raining Men,https://www.youtube.com/watch?v=l5aZJBLAu1E,35,Skud ud til SMKIDs mandlige vektorer,,,,,
Cyndi Lauper - Girls Just Want to Have Fun,https://www.youtube.com/watch?v=PIb6AZdTr-A,22,Skud ud til SMKIDs kvindelige vektorer,,,,,
Outkast - Ms. Jackson,https://www.youtube.com/watch?v=Qc89T_KPNWc,7,Skud ud til at blive icet i en hel Cruzares,,,,,
George Michael - Careless Whisper,https://www.youtube.com/watch?v=izGwDsrQ1eQ,25,Skud ud til sofiero,"Den klamme 7,5% øl fra tour de france",,,,
Backstreet Boys - I Want It That Way,https://www.youtube.com/watch?v=4fndeDfaWCg,15,"""Jeg kysser måske dårligt, men jeg er god til at puste""",Indspilles af kabs Emilie,,,,
Gala - Freed from Desire,https://www.youtube.com/watch?v=p3l7fgvrEKM,14,Skud ud til tvangsbundere,Start ved 0:10 (skip instrumentalt gøgl),,,,
Inital D - Deja Vu,https://www.youtube.com/watch?v=dv13gl0a-FA,35,"Skud ud til at stille sig i en rundkreds, sætte øl på hovedet og kaste frisbees efter hinanden",ØLHAAT,,,,
Tro på os to ,https://www.youtube.com/watch?v=NfDXrwpJRxU,3,Skud ud til Anni,,,,,
Nissernes Ø,https://www.youtube.com/watch?v=0spBd5jgEDU,46,Skud ud il at være halvejs,,,,,
Vitterligt Loke - Lokes Rapsody,https://www.youtube.com/watch?v=MU_FmphZ4xA,36,*sniff* *sniff* Er det mon hjemmebag?,nej det er den søde duft af nederlag,,,,
Yeah Yeah Yeahs - Heads Will Roll (A-Trak remix),https://www.youtube.com/watch?v=or3U2rXxvQw,142,Skud ud til hatte,,,,,
Team Easy On - De Skal Have Baghjul Nede i Touren,https://www.youtube.com/watch?v=9aV9w9S5WRA,7,Skud ud til Bjarne (og blandede minder),Fjerde øl (start den evt 0:07 så man får omkvæd med),,,,
Ginotrex - Bamse og Kylling,https://soundcloud.com/ginotrex/bamse-og-kylling,0,(lige så nemt som at distribuere børnporno),måske er den her sang lidt for kokain,,,,
Motherlover,https://www.youtube.com/watch?v=X0DeIqJm4vM,19,Skud ud til alle de frække typer på linjen,,,,,
Daddy Cool,https://www.youtube.com/watch?v=QtxlCsVKkvY,41,Skud ud til 70'erne,,,,,
I Will Survive,https://www.youtube.com/watch?v=gYkACVDFmeg,13,Skud til at være over halvejs,,,,,
Disco Pogo,https://www.youtube.com/watch?v=FWsQQgbKkjc,55,"“Jeg giver 5000 kr til ham der knepper min mor... altså jeg har ikke mange penge, men jeg har den slags penge...”",Indspilles af Aksel,,,,
